================ Training Loss (Tue Sep  8 19:09:50 2026) ================
[Rank 0] (epoch: 1, iters: 3700, time: 0.204, data: 0.064) , G_GAN: 0.256, G_NCE: 2.297, Proj_distill: 0.000, Proj_pyramid: 0.037, Proj_sparse: 0.001, D: 0.036, noise_std: 0.263, white_ratio: 0.017

[Rank 0] (epoch: 1, iters: 3800, time: 0.204, data: 0.071) , G_GAN: 0.169, G_NCE: 2.284, Proj_distill: 0.000, Proj_pyramid: 0.041, Proj_sparse: 0.001, D: 0.061, noise_std: 0.262, white_ratio: 0.044

[Rank 0] (epoch: 1, iters: 3900, time: 0.203, data: 0.070) , G_GAN: 0.271, G_NCE: 2.462, Proj_distill: 0.000, Proj_pyramid: 0.040, Proj_sparse: 0.001, D: 0.044, noise_std: 0.261, white_ratio: 0.058

[Rank 0] (epoch: 1, iters: 4000, time: 0.306, data: 0.070) , G_GAN: 0.256, G_NCE: 2.103, Proj_distill: 0.000, Proj_pyramid: 0.047, Proj_sparse: 0.001, D: 0.032, noise_std: 0.260, white_ratio: 0.068

[Rank 0] (epoch: 1, iters: 4100, time: 0.204, data: 0.085) , G_GAN: 0.257, G_NCE: 2.094, Proj_distill: 0.000, Proj_pyramid: 0.049, Proj_sparse: 0.001, D: 0.052, noise_std: 0.259, white_ratio: 0.063

[Rank 0] (epoch: 1, iters: 4200, time: 0.209, data: 0.071) , G_GAN: 0.228, G_NCE: 1.911, Proj_distill: 0.000, Proj_pyramid: 0.061, Proj_sparse: 0.001, D: 0.043, noise_std: 0.258, white_ratio: 0.159

[Rank 0] (epoch: 1, iters: 4300, time: 0.208, data: 0.085) , G_GAN: 0.262, G_NCE: 2.135, Proj_distill: 0.000, Proj_pyramid: 0.040, Proj_sparse: 0.001, D: 0.037, noise_std: 0.257, white_ratio: 0.088

[Rank 0] (epoch: 1, iters: 4400, time: 0.203, data: 0.070) , G_GAN: 0.217, G_NCE: 2.377, Proj_distill: 0.000, Proj_pyramid: 0.043, Proj_sparse: 0.001, D: 0.057, noise_std: 0.256, white_ratio: 0.105

[Rank 0] (epoch: 1, iters: 4500, time: 0.207, data: 0.066) , G_GAN: 0.251, G_NCE: 1.969, Proj_distill: 0.000, Proj_pyramid: 0.042, Proj_sparse: 0.001, D: 0.037, noise_std: 0.255, white_ratio: 0.096

[Rank 0] (epoch: 1, iters: 4600, time: 0.207, data: 0.081) , G_GAN: 0.212, G_NCE: 2.284, Proj_distill: 0.000, Proj_pyramid: 0.026, Proj_sparse: 0.001, D: 0.090, noise_std: 0.254, white_ratio: 0.073

[Rank 0] (epoch: 1, iters: 4700, time: 0.207, data: 0.069) , G_GAN: 0.083, G_NCE: 2.559, Proj_distill: 0.000, Proj_pyramid: 0.034, Proj_sparse: 0.001, D: 0.073, noise_std: 0.253, white_ratio: 0.190

[Rank 0] (epoch: 1, iters: 4800, time: 0.205, data: 0.068) , G_GAN: 0.191, G_NCE: 2.202, Proj_distill: 0.000, Proj_pyramid: 0.058, Proj_sparse: 0.001, D: 0.048, noise_std: 0.252, white_ratio: 0.089

[Rank 0] (epoch: 1, iters: 4900, time: 0.211, data: 0.074) , G_GAN: 0.157, G_NCE: 3.023, Proj_distill: 0.000, Proj_pyramid: 0.034, Proj_sparse: 0.001, D: 0.051, noise_std: 0.251, white_ratio: 0.026

[Rank 0] (epoch: 1, iters: 5000, time: 0.311, data: 0.074) , G_GAN: 0.330, G_NCE: 2.064, Proj_distill: 0.000, Proj_pyramid: 0.041, Proj_sparse: 0.001, D: 0.066, noise_std: 0.250, white_ratio: 0.026

[Rank 0] (epoch: 1, iters: 5100, time: 0.206, data: 0.070) , G_GAN: 0.111, G_NCE: 1.932, Proj_distill: 0.000, Proj_pyramid: 0.027, Proj_sparse: 0.001, D: 0.065, noise_std: 0.249, white_ratio: 0.118

[Rank 0] (epoch: 1, iters: 5200, time: 0.206, data: 0.072) , G_GAN: 0.256, G_NCE: 2.365, Proj_distill: 0.000, Proj_pyramid: 0.040, Proj_sparse: 0.001, D: 0.056, noise_std: 0.248, white_ratio: 0.067

[Rank 0] (epoch: 1, iters: 5300, time: 0.210, data: 0.072) , G_GAN: 0.203, G_NCE: 2.386, Proj_distill: 0.000, Proj_pyramid: 0.020, Proj_sparse: 0.000, D: 0.053, noise_std: 0.247, white_ratio: 0.159

[Rank 0] (epoch: 1, iters: 5400, time: 0.205, data: 0.075) , G_GAN: 0.195, G_NCE: 2.142, Proj_distill: 0.000, Proj_pyramid: 0.022, Proj_sparse: 0.000, D: 0.046, noise_std: 0.246, white_ratio: 0.168

[Rank 0] (epoch: 1, iters: 5500, time: 0.209, data: 0.068) , G_GAN: 0.132, G_NCE: 2.133, Proj_distill: 0.000, Proj_pyramid: 0.028, Proj_sparse: 0.001, D: 0.053, noise_std: 0.245, white_ratio: 0.207

[Rank 0] (epoch: 1, iters: 5600, time: 0.204, data: 0.072) , G_GAN: 0.228, G_NCE: 2.039, Proj_distill: 0.000, Proj_pyramid: 0.013, Proj_sparse: 0.000, D: 0.055, noise_std: 0.244, white_ratio: 0.186

[Rank 0] (epoch: 1, iters: 5700, time: 0.205, data: 0.069) , G_GAN: 0.196, G_NCE: 1.979, Proj_distill: 0.000, Proj_pyramid: 0.037, Proj_sparse: 0.001, D: 0.046, noise_std: 0.243, white_ratio: 0.332

[Rank 0] (epoch: 1, iters: 5800, time: 0.206, data: 0.061) , G_GAN: 0.218, G_NCE: 2.322, Proj_distill: 0.000, Proj_pyramid: 0.039, Proj_sparse: 0.001, D: 0.068, noise_std: 0.242, white_ratio: 0.267

[Rank 0] (epoch: 1, iters: 5900, time: 0.204, data: 0.078) , G_GAN: 0.313, G_NCE: 2.147, Proj_distill: 0.000, Proj_pyramid: 0.013, Proj_sparse: 0.000, D: 0.070, noise_std: 0.241, white_ratio: 0.094

[Rank 0] (epoch: 1, iters: 6000, time: 0.308, data: 0.076) , G_GAN: 0.383, G_NCE: 2.571, Proj_distill: 0.000, Proj_pyramid: 0.015, Proj_sparse: 0.000, D: 0.022, noise_std: 0.240, white_ratio: 0.154

[Rank 0] (epoch: 1, iters: 6100, time: 0.205, data: 0.070) , G_GAN: 0.224, G_NCE: 2.199, Proj_distill: 0.000, Proj_pyramid: 0.066, Proj_sparse: 0.001, D: 0.041, noise_std: 0.239, white_ratio: 0.178

[Rank 0] (epoch: 1, iters: 6200, time: 0.207, data: 0.074) , G_GAN: 0.279, G_NCE: 2.012, Proj_distill: 0.000, Proj_pyramid: 0.027, Proj_sparse: 0.001, D: 0.035, noise_std: 0.238, white_ratio: 0.348

[Rank 0] (epoch: 1, iters: 6300, time: 0.206, data: 0.070) , G_GAN: 0.299, G_NCE: 2.101, Proj_distill: 0.000, Proj_pyramid: 0.016, Proj_sparse: 0.000, D: 0.061, noise_std: 0.237, white_ratio: 0.372

[Rank 0] (epoch: 1, iters: 6400, time: 0.205, data: 0.070) , G_GAN: 0.237, G_NCE: 1.874, Proj_distill: 0.000, Proj_pyramid: 0.020, Proj_sparse: 0.000, D: 0.063, noise_std: 0.236, white_ratio: 0.356

[Rank 0] (epoch: 1, iters: 6500, time: 0.202, data: 0.074) , G_GAN: 0.194, G_NCE: 2.230, Proj_distill: 0.000, Proj_pyramid: 0.011, Proj_sparse: 0.000, D: 0.054, noise_std: 0.235, white_ratio: 0.168

[Rank 0] (epoch: 1, iters: 6600, time: 0.204, data: 0.085) , G_GAN: 0.273, G_NCE: 2.076, Proj_distill: 0.000, Proj_pyramid: 0.025, Proj_sparse: 0.001, D: 0.053, noise_std: 0.234, white_ratio: 0.429

[Rank 0] (epoch: 1, iters: 6700, time: 0.208, data: 0.065) , G_GAN: 0.197, G_NCE: 1.942, Proj_distill: 0.000, Proj_pyramid: 0.022, Proj_sparse: 0.000, D: 0.041, noise_std: 0.233, white_ratio: 0.337

[Rank 0] (epoch: 1, iters: 6800, time: 0.209, data: 0.069) , G_GAN: 0.190, G_NCE: 2.080, Proj_distill: 0.000, Proj_pyramid: 0.021, Proj_sparse: 0.000, D: 0.036, noise_std: 0.232, white_ratio: 0.455

[Rank 0] (epoch: 1, iters: 6900, time: 0.207, data: 0.068) , G_GAN: 0.201, G_NCE: 2.284, Proj_distill: 0.000, Proj_pyramid: 0.042, Proj_sparse: 0.001, D: 0.056, noise_std: 0.231, white_ratio: 0.250

[Rank 0] (epoch: 1, iters: 7000, time: 0.295, data: 0.068) , G_GAN: 0.175, G_NCE: 2.131, Proj_distill: 0.000, Proj_pyramid: 0.058, Proj_sparse: 0.001, D: 0.033, noise_std: 0.230, white_ratio: 0.296

[Rank 0] (epoch: 1, iters: 7100, time: 0.209, data: 0.076) , G_GAN: 0.114, G_NCE: 2.061, Proj_distill: 0.000, Proj_pyramid: 0.012, Proj_sparse: 0.000, D: 0.063, noise_std: 0.229, white_ratio: 0.421

[Rank 0] (epoch: 1, iters: 7200, time: 0.206, data: 0.065) , G_GAN: 0.203, G_NCE: 2.259, Proj_distill: 0.000, Proj_pyramid: 0.012, Proj_sparse: 0.000, D: 0.047, noise_std: 0.228, white_ratio: 0.333

[Rank 0] (epoch: 1, iters: 7300, time: 0.209, data: 0.067) , G_GAN: 0.222, G_NCE: 2.085, Proj_distill: 0.000, Proj_pyramid: 0.033, Proj_sparse: 0.001, D: 0.050, noise_std: 0.227, white_ratio: 0.269

[Rank 0] (epoch: 1, iters: 7400, time: 0.203, data: 0.063) , G_GAN: 0.240, G_NCE: 2.284, Proj_distill: 0.000, Proj_pyramid: 0.025, Proj_sparse: 0.001, D: 0.039, noise_std: 0.226, white_ratio: 0.160

[Rank 0] (epoch: 1, iters: 7500, time: 0.209, data: 0.080) , G_GAN: 0.181, G_NCE: 2.418, Proj_distill: 0.000, Proj_pyramid: 0.027, Proj_sparse: 0.001, D: 0.055, noise_std: 0.225, white_ratio: 0.384

[Rank 0] (epoch: 1, iters: 7600, time: 0.204, data: 0.071) , G_GAN: 0.254, G_NCE: 2.186, Proj_distill: 0.000, Proj_pyramid: 0.024, Proj_sparse: 0.001, D: 0.040, noise_std: 0.224, white_ratio: 0.406

[Rank 0] (epoch: 1, iters: 7700, time: 0.202, data: 0.076) , G_GAN: 0.218, G_NCE: 2.075, Proj_distill: 0.000, Proj_pyramid: 0.031, Proj_sparse: 0.001, D: 0.055, noise_std: 0.223, white_ratio: 0.274

[Rank 0] (epoch: 1, iters: 7800, time: 0.202, data: 0.063) , G_GAN: 0.366, G_NCE: 2.180, Proj_distill: 0.000, Proj_pyramid: 0.014, Proj_sparse: 0.000, D: 0.058, noise_std: 0.222, white_ratio: 0.188

[Rank 0] (epoch: 1, iters: 7900, time: 0.205, data: 0.075) , G_GAN: 0.240, G_NCE: 2.237, Proj_distill: 0.000, Proj_pyramid: 0.020, Proj_sparse: 0.000, D: 0.048, noise_std: 0.221, white_ratio: 0.354

[Rank 0] (epoch: 1, iters: 8000, time: 0.330, data: 0.067) , G_GAN: 0.196, G_NCE: 2.022, Proj_distill: 0.000, Proj_pyramid: 0.048, Proj_sparse: 0.001, D: 0.051, noise_std: 0.220, white_ratio: 0.179

[Rank 0] (epoch: 1, iters: 8100, time: 0.205, data: 0.072) , G_GAN: 0.292, G_NCE: 2.110, Proj_distill: 0.000, Proj_pyramid: 0.017, Proj_sparse: 0.000, D: 0.052, noise_std: 0.219, white_ratio: 0.373

[Rank 0] (epoch: 1, iters: 8200, time: 0.204, data: 0.075) , G_GAN: 0.196, G_NCE: 1.945, Proj_distill: 0.000, Proj_pyramid: 0.025, Proj_sparse: 0.001, D: 0.069, noise_std: 0.218, white_ratio: 0.158

[Rank 0] (epoch: 1, iters: 8300, time: 0.208, data: 0.065) , G_GAN: 0.191, G_NCE: 2.047, Proj_distill: 0.000, Proj_pyramid: 0.009, Proj_sparse: 0.000, D: 0.049, noise_std: 0.217, white_ratio: 0.233

[Rank 0] (epoch: 1, iters: 8400, time: 0.206, data: 0.068) , G_GAN: 0.176, G_NCE: 2.716, Proj_distill: 0.000, Proj_pyramid: 0.007, Proj_sparse: 0.000, D: 0.066, noise_std: 0.216, white_ratio: 0.285

[Rank 0] (epoch: 1, iters: 8500, time: 0.207, data: 0.073) , G_GAN: 0.290, G_NCE: 2.792, Proj_distill: 0.000, Proj_pyramid: 0.005, Proj_sparse: 0.000, D: 0.099, noise_std: 0.215, white_ratio: 0.380

[Rank 0] (epoch: 1, iters: 8600, time: 0.210, data: 0.072) , G_GAN: 0.277, G_NCE: 2.171, Proj_distill: 0.000, Proj_pyramid: 0.013, Proj_sparse: 0.000, D: 0.043, noise_std: 0.214, white_ratio: 0.218

[Rank 0] (epoch: 1, iters: 8700, time: 0.206, data: 0.064) , G_GAN: 0.273, G_NCE: 1.997, Proj_distill: 0.000, Proj_pyramid: 0.006, Proj_sparse: 0.000, D: 0.047, noise_std: 0.213, white_ratio: 0.145

